Procedure,Step ID,Step description,Operator raw,Operator,Duration (ms),Cogulator type (mapped),VACP channel,VACP weight,VACP descriptor,Notes,,,,,Note,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify grabbing correct equipment from procedure,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Move cylinder back to table (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Flip procedure to page 2 (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Search for centrifuge tube,search,,Perceptual,V,7,Visually scan/search/monitor (V7),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp centrifuge tube,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify centrifuge tube,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Release centrifuge tube,release,,Motor,P,2.2,Discrete actuation (P2) [assumption],,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify got right container by looking back at procedure,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp procedure,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Read procedure,read,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Release procedure,release,,Motor,P,2.2,Discrete actuation (P2) [assumption],,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify <centrifuge containers>,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp second centrifuge,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify centrifuge,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Move centrifuge 1 to tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Move centrifuge 2 to tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp leather glove,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Move leather glove onto hand (1296 milliseconds),move,1296,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp centrifuge tray,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Recall how to take sample <oil outlet> <valves needed> <steps needed>,recall,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Walk to train  (18169 milliseconds),walk,18169,Motor,P,0,Manipulation (P4) [assumption for locomotion],,,,,,Same as previous comment,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Flip to page 2 (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Verify found correct valve,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp valve to allow flow,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Turn on valve to allow flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp knob to adjust flow,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Turn knob that adjusts flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move procedure to ground (2534 milliseconds),move,2534,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp centrifuge,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move centrifuge under spout (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for centrifuge to fill (15 seconds),wait,15000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp other centrifuge,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify correct fill of tube,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp knob to stop flow,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Turn knob to stop flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify centrifuge filled to 200ml,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move centrifuge back to tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp other centrifuge,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move other centrifuge to spout (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Turn knob to start flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for centrifuge to fill (19 seconds),wait,19000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp knob to stop flow,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Turn knob to stop flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp valve,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Turn valve closed to stop allowing flow (3060 milliseconds),turn,3060,Motor,P,5.8,Discrete adjustment (P5),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move centrifuge back to tray (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp procedure,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Release procedure,release,,Motor,P,2.2,Discrete actuation (P2) [assumption],,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp centrifuge tray,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Stand up (5 seconds),stand,5000,Motor,P,0,Manipulation (P4) [assumption],,,,,,Same as previous comment. These are completely physical task and don't required mental resources,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Walk to sample table  (18169 milliseconds),walk,18169,Motor,P,0,Manipulation (P4) [assumption for locomotion],,,,,,Same as previous comment. These are completely physical task and don't required mental resources,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move centrifuge tray to table (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at centrifuge tray,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid opened (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp centrifuge tube,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move centrifuge tube to heater (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp second centrifuge tube,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move second centrifuge tube to heater (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at heater settings,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify heater settings,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid closed (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp thermometer,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Read thermometer (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid opened (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer into centrifuge tube (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for thermometer to get reading (10 seconds),wait,10000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at thermometer reading,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Store <the thermometer reading>,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify at desired temperature *not at desired temp so repeat,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Ignore <the thermometer reading>,ignore,,Cognitive,C,1,Automatic (C1),,,,,,Ignoring something is like forgetting it. Doesn't need any cognitive resource.,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer out of centrifuge (3708 milliseconds),move,3708,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid closed (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for samples to heat up (90 seconds),wait,90000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp pencil,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move pencil to procedure (500 milliseconds),move,500,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Write check on procedure,write,,Motor,P,6.5,Symbolic production (writing) (P6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid opened (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer into centrifuge tube (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for thermometer to get reading (10 seconds),wait,10000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at thermometer reading,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Proofread the thermometer,proofread,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Store <the thermometer reading>,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify at desired temperature *not at desired temp so repeat,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp the thermometer,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer out of centrifuge (3708 milliseconds),move,3708,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp towel,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move towel to the thermometer (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wipe off thermometer,wipe,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer to table (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid closed (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for samples to heat up (60 seconds),wait,60000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid opened (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer into centrifuge tube  (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for thermometer to get reading (10 seconds),wait,10000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at thermometer reading,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Proofread the thermometer,proofread,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Store <the thermometer reading>,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify at desired temperature *not at desired temp so repeat,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp the thermometer,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp towel,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move towel to the thermometer (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wipe off thermometer,wipe,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer to table (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid closed (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for samples to heat up (60 seconds),wait,60000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp heater lid,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move heater lid opened (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Move thermometer into centrifuge tube  (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Wait for thermometer to get reading (10 seconds),wait,10000,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Look at thermometer reading,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Proofread the thermometer,proofread,,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Store <the thermometer reading>,store,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Verify at desired temperature,verify,,Cognitive,C,4.6,Evaluation/Judgment single aspect (C4),,,,,,,
Centrifuge task,2,Samples should be taken in two 200 ml certified centrifuge tubes. Fill tubes to the 100 ml mark.,Grasp the thermometer,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move the centrifuge heater lid open (1656 milliseconds),move,1656,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,Wait  for it to heat up (40674 milliseconds),wait,40674,System,,0,No activity (V0/A0/C0/P0),,,,,,,
Centrifuge task,4,Place tubes onto opposite sides of the centrifuge to maintain balance.,move thermometer to centrifuge tube  (4860 milliseconds),move,4860,Motor,P,0,Manipulation (P4),,,,,,,
